file,domain,target,phase,queue_options,has_perform,service_calls
app/workers/metrics/check_data_update_script_statuses.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :low_priority, retry: 10",True,
app/workers/metrics/record_background_queue_stats_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :high_priority, retry: 10",True,Loggers::LogWorkerQueueStats.call
app/workers/metrics/record_daily_notifications_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :low_priority, retry: 10",True,
app/workers/metrics/record_daily_usage_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :low_priority, retry: 10",True,
app/workers/metrics/record_data_counts_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :low_priority, retry: 10",True,
app/workers/migrate_data_to_work_field_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,,True,
app/workers/moderator/banish_user_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :high_priority, retry: 10",True,Moderator::BanishUser.call
app/workers/moderator/sink_articles_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :medium_priority, retry: 10",True,
app/workers/moderator/unpublish_all_articles_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :medium_priority, retry: 10",True,UnpublishAllArticles.call
app/workers/notification_subscriptions/update_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :medium_priority, retry: 10, lock: :until_executing",True,NotificationSubscriptions::Update.call
app/workers/notifications/cleanup_user_worker.rb,notifications,services/api/internal/notifications + worker,P2,"queue: :low_priority, retry: 5",True,
app/workers/notifications/create_round_robin_moderation_notifications_worker.rb,notifications,services/api/internal/notifications + worker,P2,"queue: :medium_priority, retry: 10",True,Users::SelectModeratorsQuery.call | Notifications::Moderation::Send.call
app/workers/notifications/mention_worker.rb,notifications,services/api/internal/notifications + worker,P2,"queue: :low_priority, retry: 10",True,Notifications::NewMention::Send.call
app/workers/notifications/milestone_worker.rb,notifications,services/api/internal/notifications + worker,P2,"queue: :low_priority, retry: 10",True,Notifications::Milestone::Send.call
app/workers/notifications/new_badge_achievement_worker.rb,notifications,services/api/internal/notifications + worker,P2,"queue: :low_priority, retry: 10",True,Notifications::NewBadgeAchievement::Send.call
app/workers/notifications/new_follower_worker.rb,notifications,services/api/internal/notifications + worker,P2,"queue: :medium_priority, retry: 10",True,Notifications::NewFollower::Send.call
app/workers/notifications/new_reaction_worker.rb,notifications,services/api/internal/notifications + worker,P2,"queue: :medium_priority, retry: 10",True,Notifications::Reactions::Send.call
