file,domain,target,phase,filters,service_calls
app/controllers/api_secrets_controller.rb,web-rails-controller,apps/web routes + services/api handlers,P2,"2:before_action :authenticate_user! | 3:before_action :load_api_secret, only: :destroy | 4:after_action :verify_authorized",9:ApiSecret.new
app/controllers/application_controller.rb,web-rails-controller,apps/web routes + services/api handlers,P2,"16:before_action :redirect_www_and_unregistred_subforems_to_root | 17:before_action :redirect_all_subforems_to_default | 18:before_action :configure_permitted_parameters, if: :devise_controller? | 19:skip_before_action :track_ahoy_visit | 20:before_action :set_session_domain | 21:after_action :set_unauthenticated_session_expiry | 22:before_action :verify_private_forem | 24:before_action :set_devise_rememberable_options # Add this line | 25:before_action :remember_cookie_sync | 26:before_action :forward_to_app_config_domain | 27:before_action :redirect_custom_domain_non_profile_pages | 28:before_action :determine_locale | 29:after_action :clear_request_store | 64:around_action :handle_argument_error",116:User.new | 137:RedirectRequired.new | 142:RedirectRequired.new | 351:User.new | 467:EdgeCache::Bust.call
app/controllers/articles_controller.rb,web-rails-controller,apps/web routes + services/api handlers,P1,"5:before_action :authenticate_user!, except: %i[feed new] | 6:before_action :set_article, only: %i[edit manage update destroy stats admin_unpublish admin_featured_toggle] | 9:before_action :check_suspended, only: %i[new create update] | 10:before_action :set_cache_control_headers, only: %i[feed] | 11:after_action :verify_authorized",69:FeedMarkdownScrubber.new | 80:Articles::Builder.call | 100:Users::ApprovedLiquidTags.call | 118:ContentRenderer.new | 118:Article.new | 123:Article.new | 124:ErrorMessages::Clean.call | 133:Article.new | 154:Articles::Creator.call | 171:Articles::Updater.call | 209:Articles::Destroyer.call | 225:Articles::Unpublish.call | 229:Note.create | 260:DiscussionLock.new | 280:Users::ApprovedLiquidTags.call
app/controllers/async_info_controller.rb,web-rails-controller,apps/web routes + services/api handlers,P2,"4:before_action :set_cache_control_headers, only: %i[navigation_links]",
app/controllers/auth_pass_controller.rb,web-rails-controller,apps/web routes + services/api handlers,P2,"3:skip_before_action :verify_authenticity_token, only: [:iframe, :token_login] | 6:before_action :allow_cross_origin_requests, only: [:iframe, :token_login] | 7:before_action :use_iframe_session_store, only: [:iframe]",
app/controllers/badges_controller.rb,web-rails-controller,apps/web routes + services/api handlers,P2,"2:before_action :set_cache_control_headers, only: [:show]",
app/controllers/billboard_events_controller.rb,web-rails-controller,apps/web routes + services/api handlers,P2,,11:BillboardEvent.create | 18:Billboards::DataUpdateWorker.perform_async | 28:ActionController::Parameters.new
app/controllers/billboards_controller.rb,web-rails-controller,apps/web routes + services/api handlers,P2,"2:before_action :set_cache_control_headers, only: %i[show], unless: -> { current_user }",39:ArticleDecorator.new
app/controllers/bottom_items_controller.rb,web-rails-controller,apps/web routes + services/api handlers,P2,"2:before_action :set_cache_control_headers, only: %i[index]",
app/controllers/comments_controller.rb,web-rails-controller,apps/web routes + services/api handlers,P1,"2:before_action :set_comment, only: %i[update destroy] | 3:before_action :set_cache_control_headers, only: [:index] | 4:before_action :authenticate_user!, only: %i[preview create hide unhide] | 5:after_action :verify_authorized | 6:after_action only: %i[moderator_create admin_delete] do",16:Comment.new | 111:Comment.new | 204:ContentRenderer.new
app/controllers/community_controller.rb,web-rails-controller,apps/web routes + services/api handlers,P2,"2:before_action :set_cache_control_headers, only: %i[index] | 3:after_action :verify_authorized",
app/controllers/concerns/api/admin/user_identities_controller.rb,public-api,services/api/internal/http/handlers,P1,,17:Api::Admin::ApiError.new | 47:Api::Admin::ApiError.new | 82:Api::Admin::ApiError.new | 90:Api::Admin::ApiError.new | 97:Identity.create | 99:Api::Admin::ApiError.new
app/controllers/concerns/api/admin/user_notes_controller.rb,public-api,services/api/internal/http/handlers,P1,,18:Note.create
app/controllers/concerns/api/admin/users_controller.rb,public-api,services/api/internal/http/handlers,P1,,42:Users::Update.call | 49:Profile.new | 61:Api::Admin::ApiError.new | 64:Api::Admin::ApiError.new | 71:Users::BustCacheWorker.perform_async | 81:Api::Admin::ApiError.new | 106:Api::Admin::ApiError.new | 120:Moderator::MergeUser.call | 126:Api::Admin::ApiError.new
app/controllers/concerns/api/analytics_controller.rb,public-api,services/api/internal/http/handlers,P1,,6:AnalyticsService.new | 12:AnalyticsService.new | 21:AnalyticsService.new | 29:AnalyticsService.new | 38:AnalyticsService.new | 47:AnalyticsService.new | 75:AnalyticsService.new | 79:AnalyticsService.new | 107:UserActivityHeatmapService.new
app/controllers/concerns/api/articles_controller.rb,public-api,services/api/internal/http/handlers,P1,,37:ArticleApiIndexService.new | 66:Articles::Creator.call | 80:Articles::Updater.call | 121:Articles::Unpublish.call | 135:Articles::ApiSearchQuery.call
app/controllers/concerns/api/badge_achievements_controller.rb,public-api,services/api/internal/http/handlers,P1,,16:BadgeAchievement.new
app/controllers/concerns/api/badges_controller.rb,public-api,services/api/internal/http/handlers,P1,,16:Badge.new
app/controllers/concerns/api/follows_controller.rb,public-api,services/api/internal/http/handlers,P1,,10:Users::FollowWorker.perform_async | 14:Users::FollowWorker.perform_async
app/controllers/concerns/api/health_checks_controller.rb,public-api,services/api/internal/http/handlers,P1,,46:Redis.new
app/controllers/concerns/api/surveys_controller.rb,public-api,services/api/internal/http/handlers,P1,"8:before_action :authenticate_with_api_key_or_current_user! | 9:before_action :authorize_admin | 10:before_action :set_survey, only: %i[show poll_votes poll_text_responses]",19:ActiveModel::Type::Boolean.new
app/controllers/concerns/api/users_controller.rb,public-api,services/api/internal/http/handlers,P1,,44:Moderator::UnpublishAllArticlesWorker.perform_async | 48:Note.create
app/controllers/concerns/development_dependency_checks.rb,web-rails-controller,apps/web routes + services/api handlers,P2,"7:before_action :verify_sidekiq_running, only: %i[index show], if: proc { Rails.env.development? }",17:Sidekiq::ProcessSet.new
app/controllers/concerns/organization_admin_scoped.rb,web-rails-controller,apps/web routes + services/api handlers,P1,5:before_action :authenticate_user! | 6:before_action :set_organization | 7:before_action :authorize_admin!,
app/controllers/credits_controller.rb,web-rails-controller,apps/web routes + services/api handlers,P2,2:before_action :authenticate_user! | 3:before_action :initialize_stripe,7:Credits::Ledger.call | 13:Credit.new | 28:Payments::ProcessCreditPurchase.call
app/controllers/dashboards_controller.rb,web-rails-controller,apps/web routes + services/api handlers,P2,15:before_action :set_no_cache_header | 16:before_action :authenticate_user! | 17:before_action :set_agent_sessions_count,
app/controllers/deep_links_controller.rb,web-rails-controller,apps/web routes + services/api handlers,P2,,11:ConsumerApps::FindOrCreateAllQuery.call
app/controllers/dev_tools_controller.rb,web-rails-controller,apps/web routes + services/api handlers,P2,2:before_action :ensure_development_environment,
app/controllers/devices_controller.rb,web-rails-controller,apps/web routes + services/api handlers,P2,"6:skip_before_action :verify_authenticity_token, only: [:destroy]",
app/controllers/discussion_locks_controller.rb,web-rails-controller,apps/web routes + services/api handlers,P2,2:before_action :authenticate_user!,7:DiscussionLock.new | 48:EdgeCache::BustArticle.call
app/controllers/email_authorizations_controller.rb,web-rails-controller,apps/web routes + services/api handlers,P2,2:before_action :authenticate_user!,
app/controllers/events_controller.rb,web-rails-controller,apps/web routes + services/api handlers,P2,,14:ActionController::RoutingError.new
app/controllers/feed_events_controller.rb,web-rails-controller,apps/web routes + services/api handlers,P2,"2:before_action :current_user_by_token, only: [:create]",16:FeedEvents::BulkUpsert.call
app/controllers/feedback_messages_controller.rb,web-rails-controller,apps/web routes + services/api handlers,P2,3:skip_before_action :verify_authenticity_token,10:FeedbackMessage.new | 12:ReCaptcha::CheckEnabled.call | 14:Slack::Messengers::Feedback.call
app/controllers/feeds/sources_controller.rb,web-rails-controller,apps/web routes + services/api handlers,P2,3:before_action :authenticate_user! | 4:after_action :verify_authorized,11:Feeds::ImportArticlesWorker::ForUser.perform_async
app/controllers/followings_controller.rb,web-rails-controller,apps/web routes + services/api handlers,P1,"2:before_action :authenticate_user! | 3:before_action -> { limit_per_page(default: 80, max: 1000) }",
app/controllers/follows_controller.rb,web-rails-controller,apps/web routes + services/api handlers,P1,"2:before_action :current_user_by_token, only: [:create] | 3:skip_before_action :verify_authenticity_token, if: :token_authenticated? | 4:after_action :verify_authorized",15:Follows::CheckCached.call | 19:Follows::CheckCached.call | 39:Follows::CheckCached.call | 41:Follows::CheckCached.call | 132:Follows::DeleteCached.call
