source_domain,target_domain,edge_count
reactions,validation,2
reactions,identity/profile,2
settings,admin,2
identity/profile,query-read-model,2
authorization,web-rails-controller,2
query-read-model,organizations,2
query-read-model,monetization,2
query-read-model,articles/feed,2
articles/feed,presentation,2
integrations,comments,2
integrations,articles/content,2
integrations,query-read-model,2
integrations,jobs,2
integrations,legacy-data,2
articles/feed,organizations,2
articles/feed,shared-lib,2
articles/feed,runtime-config,2
articles/feed,settings,2
integrations,media,2
notifications,content-rendering,2
notifications,settings,2
search,articles/feed,2
search,admin,2
validation,runtime-config,2
platform,media,2
jobs,notifications,2
jobs,admin,2
jobs,shared-lib,2
jobs,settings,2
runtime-config,identity/profile,2
runtime-config,email,2
runtime-config,public-api,2
runtime-config,service,2
legacy-schema,runtime-config,2
shared-lib,jobs,2
shared-lib,search,2
shared-lib,monetization,2
shared-lib,shared-lib,2
tests,organizations,2
email,monetization,2
tests,monetization,2
tests,query-read-model,2
assets,platform,1
assets,media,1
assets,shared-lib,1
assets,domain-model,1
admin,presentation,1
admin,runtime-config,1
admin,authorization,1
admin,articles/feed,1
public-api,routing,1
public-api,media,1
public-api,legacy-data,1
presentation,organizations,1
platform,validation,1
admin-ui,query-read-model,1
admin-ui,shared-lib,1
admin-ui,articles/feed,1
frontend,settings,1
frontend,tests,1
platform,articles/feed,1
platform,frontend,1
platform,search,1
content-rendering,comments,1
content-rendering,routing,1
email,presentation,1
articles/content,content-rendering,1
articles/content,media,1
articles/content,media/podcasts,1
articles/content,organizations,1
articles/content,admin,1
monetization,articles/feed,1
monetization,platform,1
monetization,frontend,1
comments,content-rendering,1
comments,platform,1
comments,assets,1
comments,integrations,1
organizations,search,1
media/podcasts,search,1
articles/content,frontend,1
settings,articles/content,1
notifications,jobs,1
organizations,routing,1
organizations,web-rails-controller,1
domain-model,media/podcasts,1
media/podcasts,public-api,1
media/podcasts,email,1
media/podcasts,media,1
reactions,articles/content,1
reactions,platform,1
reactions,integrations,1
reactions,web-rails-controller,1
reactions,admin,1
settings,platform,1
settings,runtime-config,1
settings,comments,1
settings,assets,1
identity/profile,integrations,1
identity/profile,email,1
identity/profile,notifications,1
identity/profile,media,1
authorization,service,1
authorization,frontend,1
authorization,reactions,1
authorization,domain-model,1
authorization,organizations,1
query-read-model,jobs,1
query-read-model,assets,1
articles/feed,api-serialization,1
api-serialization,tests,1
integrations,reactions,1
integrations,articles/feed,1
search,assets,1
articles/feed,reactions,1
articles/feed,legacy-data,1
articles/feed,integrations,1
articles/feed,jobs,1
articles/feed,comments,1
service,routing,1
service,authorization,1
media,runtime-config,1
search,frontend,1
search,email,1
search,identity/profile,1
validation,service,1
validation,presentation,1
validation,domain-model,1
validation,shared-lib,1
validation,frontend,1
validation,platform,1
notifications,query-read-model,1
notifications,organizations,1
notifications,articles/content,1
jobs,routing,1
jobs,legacy-data,1
runtime-config,settings,1
runtime-config,web-rails-controller,1
runtime-config,jobs,1
runtime-config,integrations,1
runtime-config,presentation,1
runtime-config,assets,1
legacy-schema,comments,1
shared-lib,admin,1
shared-lib,articles/feed,1
shared-lib,validation,1
shared-lib,reactions,1
tests,public-api,1
tests,articles/content,1
tests,reactions,1
tests,integrations,1
tests,assets,1
